"TIV of arms exports to all, 2001-2017",,,,,,,,,,,,,,,,,,,
Figures are SIPRI Trend Indicator Values (TIVs) expressed in millions.,,,,,,,,,,,,,,,,,,,
Figures may not add up due to the conventions of rounding.,,,,,,,,,,,,,,,,,,,
A '0' indicates that the value of deliveries is less than 0.5m,,,,,,,,,,,,,,,,,,,
"For more information, see http://www.sipri.org/databases/armstransfers/sources-and-methods/",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Source: SIPRI Arms Transfers Database,,,,,,,,,,,,,,,,,,,
Generated: 03 October 2018,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Total
Afghanistan,,34,,,35,3,41,150,344,377,660,521,235,288,116,176,250,3230
African Union**,,,,,53,9,,10,,,,,2,,2,,,76
Albania,,,2,,7,,5,,,,,15,7,7,7,,0,50
Algeria,542,249,195,242,159,340,509,1529,1075,834,1126,807,302,438,883,2887,905,13023
Angola,156,148,48,8,39,7,31,29,20,,,,31,2,47,124,204,893
Argentina,6,15,11,169,3,9,24,23,11,11,15,3,12,7,21,17,49,407
Armenia,,,,118,,,1,,46,52,5,,16,,,110,14,362
Australia,1236,663,801,472,459,727,677,445,775,1509,1567,876,244,927,1529,1053,1806,15765
Austria,15,69,42,56,24,4,269,190,286,7,8,8,6,2,1,13,8,1007
Azerbaijan,,89,,4,53,159,213,33,145,155,557,339,404,612,340,272,279,3653
Bahamas,,,,,3,,,,1,,,,,30,16,20,12,81
Bahrain,28,54,1,10,66,63,26,20,,103,1,26,72,1,17,16,32,536
Bangladesh,266,44,8,32,10,221,88,13,,36,117,184,637,206,637,439,320,3256
Barbados,,,,,,,10,10,10,,,,,,,,,30
Belarus,,,,,6,140,,,3,,75,75,75,60,96,115,145,791
Belgium,29,56,21,15,3,27,174,203,90,32,21,32,46,103,56,4,3,913
Benin,,7,,,,,3,,1,0,0,20,2,,,,,33
Bhutan,,,,0,,,,,,,,,,,1,1,,2
Bolivia,,,5,1,1,9,2,3,5,1,25,12,1,46,,27,7,144
Botswana,15,1,9,8,,,,,13,10,,6,8,,,5,3,79
Brazil,631,223,110,86,224,179,189,180,156,317,312,311,223,218,222,116,103,3801
Brunei,4,1,0,0,1,2,,,33,33,229,22,15,122,36,,,498
Bulgaria,,,2,12,132,22,48,116,119,8,29,5,,,3,,,495
Burkina Faso,,,,,12,1,4,,2,0,15,4,,5,,7,2,51
Burundi,1,3,,,,,,,1,2,,5,,,1,2,,15
Cambodia,,,,,,14,56,,4,34,,77,67,,,,,252
Cameroon,7,6,,,5,2,,1,,10,,9,139,122,7,20,8,334
Canada,538,436,152,352,124,104,455,407,101,228,344,205,202,325,421,228,295,4917
Cape Verde,,,,,,,,,2,,,10,,,,,,12
Central African Republic,,,,,,9,,0,,,7,,,,,,,16
Chad,16,,,,,17,20,75,35,38,1,4,59,58,1,,2,326
Chile,60,74,187,70,449,1095,662,397,335,475,326,62,54,141,144,40,50,4621
China,2850,2891,2373,3315,3607,2885,1677,1877,1392,1045,1113,1686,1388,1148,1142,991,1117,32497
Colombia,276,171,147,18,16,52,227,110,248,255,145,207,164,159,205,21,102,2522
Comoros,,,,,,,,6,,,,1,,,,,,7
Congo,,,,,4,1,0,,1,27,,23,12,13,2,,,83
Costa Rica,,,,,,,,,,,,1,,1,,,,2
