"TIV of arms exports from Germany (FRG), 1950-2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures are SIPRI Trend Indicator Values (TIVs) expressed in millions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures may not add up due to the conventions of rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A '0' indicates that the value of deliveries is less than 0.5m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For more information, see http://www.sipri.org/databases/armstransfers/sources-and-methods/",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: SIPRI Arms Transfers Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated: 03 October 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Total
Aircraft,,,,,0,,0,3,3,1,47,11,70,78,170,11,320,284,40,13,183,244,200,,24,37,77,23,39,46,146,277,264,81,212,221,134,45,294,81,162,144,112,504,125,15,83,12,14,54,84,149,24,103,106,9,23,322,332,497,171,249,222,227,181,273,212,172,8260
Air defence systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,210,275,347,315,212,,,,,,,4,4,,,8,,250,134,,,,,,24,19,75,54,85,58,39,92,100,,,,74,47,77,,,2502
Armoured vehicles,,,,,,,,,,,,,8,8,13,13,,,197,463,640,889,689,62,342,332,550,368,619,282,162,106,499,734,615,446,394,175,185,261,472,645,399,422,745,214,132,189,214,268,211,127,114,533,154,255,676,991,896,730,729,528,213,65,293,188,435,275,20163
Artillery,,,,,,,,,,,,,1,,,,,,5,5,5,,,,,,,,,,,,,,48,40,43,43,43,43,44,44,82,26,212,94,113,110,110,10,25,,9,56,144,58,96,108,95,108,188,,,,,33,97,23,2162
Engines,,,,,,,,,,,,1,6,6,,5,38,42,7,5,2,7,13,34,18,23,31,59,75,92,99,50,116,83,45,70,62,52,50,69,72,73,79,62,57,66,104,97,94,115,123,67,80,76,100,96,94,116,119,175,182,226,135,158,206,175,143,149,4399
Missiles,,,,,,,,,,,,,21,41,51,54,45,73,48,80,43,53,46,15,100,167,125,196,183,114,119,151,162,105,68,94,116,121,121,85,93,81,64,123,196,48,43,71,71,41,51,60,20,107,95,136,93,129,148,126,141,134,164,183,136,72,96,136,5453
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,28,2,4,27,42,35,3,,,,,,,,,,,,3,,,,170
Sensors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,64,49,,57,52,52,10,5,,15,10,5,31,20,27,20,29,17,22,52,17,49,32,37,79,49,50,50,60,30,45,6,43,27,33,20,18,30,1268
Ships,,,,38,29,24,24,41,22,92,109,,40,,204,250,310,373,277,173,562,170,429,115,724,888,878,1006,442,491,691,1096,542,1237,1818,361,657,529,691,644,963,1492,661,344,1189,845,1420,441,1279,1290,1058,383,602,673,394,1381,1675,1556,639,756,1270,208,69,5,875,929,1534,868,40769
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,38,29,24,24,44,25,93,156,12,146,133,438,332,713,771,574,740,1434,1364,1377,226,1208,1446,1662,1862,1631,1431,1596,1940,1584,2297,2858,1283,1415,969,1388,1202,1816,2482,1437,1500,2800,1465,1950,939,1808,1857,1610,895,902,1660,1126,2068,2764,3310,2380,2521,2725,1351,847,738,1774,1769,2535,1653,85146
