"TIV of arms exports to Iran, 1950-2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures are SIPRI Trend Indicator Values (TIVs) expressed in millions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures may not add up due to the conventions of rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A '0' indicates that the value of deliveries is less than 0.5m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For more information, see http://www.sipri.org/databases/armstransfers/sources-and-methods/",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: SIPRI Arms Transfers Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated: 03 October 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Total
Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,15,16,,,,,,,,,15,,,,,,,53
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,33,,,,,,,,,,,,,,,,,,,,,,,,,,,41
Canada,,,,,,2,,,,,1,,,,,,,,,,,,,14,,94,112,35,6,6,,,,,21,,,,,1,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,305
China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,193,219,180,126,516,539,184,60,87,96,103,304,274,58,320,54,70,64,69,80,81,84,80,43,54,47,47,47,62,52,31,9,9,9,,,4255
East Germany (GDR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35
France,,,,,,,,,,,,,,,,,5,5,5,5,10,153,2,2,2,2,,95,334,,,143,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,765
Germany (FRG),,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60
Israel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43
Italy,,,,,,,,,,,,,,,,,,5,,36,36,40,41,2,82,173,156,120,271,163,44,172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1342
Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125
Libya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94,106,,,,13,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225
Netherlands,,,,,,,,,,,,,,,,,,,,,,40,,20,20,20,27,39,42,,,31,,,20,40,,,15,15,15,15,,8,8,15,,,,,,,,,,,,,,,,,,,,,,,390
North Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141,243,68,40,48,188,189,14,4,92,109,115,6,6,4,4,2,,,,116,114,27,,,,,,,,,,,,,,1527
