"TIV of arms exports to Iran, 1950-2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures are SIPRI Trend Indicator Values (TIVs) expressed in millions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures may not add up due to the conventions of rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A '0' indicates that the value of deliveries is less than 0.5m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For more information, see http://www.sipri.org/databases/armstransfers/sources-and-methods/",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: SIPRI Arms Transfers Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated: 03 October 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Total
Aircraft,4,1,0,1,64,95,91,44,31,2,1,,,100,2,179,341,138,692,604,636,1229,572,1066,1655,3604,3486,3925,1505,188,44,177,15,64,60,35,45,,,12,296,683,,275,13,10,56,,68,,74,238,198,68,,,69,,,,,,,,,,,,22757
Air defence systems,,,,,,,,,,,,,,,,,50,24,24,40,35,,154,161,225,590,338,963,963,113,,,,,,54,54,,,36,54,82,,,,7,7,,,15,15,15,15,15,15,,188,175,,,,,,,,,220,,4642
Armoured vehicles,,5,,,11,16,15,5,95,95,,64,64,,,,25,100,100,414,417,112,326,411,418,322,42,62,275,142,94,106,393,261,90,,340,340,210,90,,,,332,153,189,50,113,243,243,251,186,19,3,3,3,3,3,3,3,3,3,,,,,,,7262
Artillery,,,,,,,,,,,,23,34,34,23,,,16,33,18,56,13,,82,55,66,99,99,99,11,,1,78,169,138,399,98,159,100,7,8,21,82,14,10,6,4,4,9,7,7,7,7,,,,,,,,,,,,,,,,2093
Engines,,,,,,,,,,,,,,,,,,,,,10,59,48,36,5,99,119,42,6,6,,4,,,31,,,,,1,2,12,,4,10,16,4,4,4,4,4,,,,,,,,,,,,,,,,,,531
Missiles,,,,,,,,,,,,2,2,3,3,3,26,13,46,51,22,75,96,167,273,387,221,343,499,62,,,25,15,5,68,176,250,153,32,79,203,130,134,47,53,60,56,56,40,47,52,52,55,56,49,158,147,53,53,68,58,40,13,13,13,154,4,4962
Naval weapons,,,,,,,,,,,,,,,,,,,,,,5,5,,,,,15,18,10,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,6,6,6,6,6,6,6,6,6,6,6,,,,,,72
Sensors,,,,,,,15,,,,,9,,,,,,5,,,,38,47,44,,88,163,16,46,4,,18,,,,,45,60,,,,7,,,,,,,,14,14,14,,,,,,,,,26,33,,18,,,24,,744
Ships,,,,,,,,4,4,10,10,10,10,,114,,,87,,109,17,200,165,86,214,16,,95,334,,140,173,30,,145,92,45,24,15,15,15,15,220,228,220,15,433,,,,,8,139,136,42,,,,,,,,,,,,,,3633
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,4,6,0,1,75,111,121,53,129,107,11,107,110,137,141,182,442,381,894,1236,1192,1731,1413,2053,2845,5171,4466,5560,3743,535,278,487,541,509,469,648,803,833,478,192,454,1022,432,987,452,296,615,178,381,323,418,524,435,282,121,57,423,331,62,62,103,100,46,31,13,13,398,4,46757
